#group,name,redirector,dataset,nevts,xsec
sm_htt,WplusHToTauTau,/cmsxrootd-site3.fnal.gov:1094/,/WplusHToTauTau_M125_13TeV_powheg_pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,3784600,0.0527 #0.8400*0.0627
sm_htt,ZHToTauTau,/pubxrootd.hep.wisc.edu:1094/,/ZHToTauTau_M125_13TeV_powheg_pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,4761815,0.0554 #0.884*0.0627
sm_htt,ttHToTauTau,/cmsxrootd-site3.fnal.gov:1094/,/ttHToTauTau_M125_TuneCP5_13TeV-powheg-pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,21883000,0.0316 #0.5033*0.0627
sm_htt,GluGluHToWWTo2L2Nu,/cmsxrootd-site3.fnal.gov:1094/,/GluGluHToWWTo2L2Nu_M125_13TeV_powheg2_JHUGenV714_pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,1000000,1.154
sm_htt,VBFHToWWTo2L2Nu,/pubxrootd.hep.wisc.edu:1094/,/VBFHToWWTo2L2Nu_M125_13TeV_powheg2_JHUGenV714_pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,1000000,0.0897
sm_hww,HZJ_HToWW,/cmsxrootd-site3.fnal.gov:1094/,/HZJ_HToWW_M125_13TeV_powheg_jhugen714_pythia8_TuneCP5/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,999993,0.163
# reference:
# - AN2020_022_v14
#
# sm_hww,HZJ_HToWW,,/HZJ_HToWW_M125_13TeV_powheg_jhugen714_pythia8_TuneCP5/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,999993,0.163,
#
# reference: 
# - https://twiki.cern.ch/twiki/bin/view/Sandbox/ZDileptonAnalysis2017
# - http://uaf-10.t2.ucsd.edu/~mmasciov/AN-18-301_temp.pdf
#
#dyjets,DYJ,DYJetsToLL,,/DYJetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,100194597,5343,
#
# reference:
# - https://llr.in2p3.fr/~charlot/Public/VBSFullRun2/AN-19-172_temp.pdf
# - https://twiki.cern.ch/twiki/pub/Main/H2zzTo4l/AN-17-342_temp.pdf
# - https://github.com/CJLST/ZZAnalysis/blob/Run2_CutBased/AnalysisStep/test/prod/samples_2018_MC.csv
# - AN2019_117_v18
#
#diboson,ggZZ,GGContinToZZTo4e,,/GluGluToContinToZZTo4e_13TeV_TuneCP5_MCFM701_pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,914500,0.00158549,
#diboson,ggZZ,GGContinToZZto4mu,,/GluGluToContinToZZTo4mu_13TeV_TuneCP5_MCFM701_pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,948800,0.00158549,
#diboson,ggZZ,GGContinToZZto4tau,,/GluGluToContinToZZTo4tau_13TeV_TuneCP5_MCFM701_pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,68700,0.00158549, 
#diboson,ggZZ,GGContinToZZTo2e2mu,,/GluGluToContinToZZTo2e2mu_13TeV_TuneCP5_MCFM701_pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,500000,0.0031942,
#diboson,ggZZ,GGContinToZZTo2e2tau,,/GluGluToContinToZZTo2e2tau_13TeV_TuneCP5_MCFM701_pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,500000,0.0031942, 
#diboson,ggZZ,GGContinToZZTo2mu2tau,,/GluGluToContinToZZTo2mu2tau_13TeV_TuneCP5_MCFM701_pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,496000,0.0031942, 
#
# reference:
# - AN2019_262_v10
# - https://github.com/CJLST/ZZAnalysis/blob/Run2_CutBased/AnalysisStep/test/prod/samples_2018_MC.csv
#
#diboson,ZZ,ZZTo4L,,/ZZTo4L_13TeV_powheg_pythia8_TuneCP5/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,19089600,1.256, 
#
# reference:
# - AN2019_192_v15 --> v1
# - AN2020_022_v14 --> mentions all extensions
# - https://indico.cern.ch/event/841225/contributions/3529463/attachments/1893114/3122463/AN2019_025_v2.pdf --> gives 3.22 pb
#
#diboson, ZZTo2L2Q,/ZZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,27900469,3.38,
##SM HZZ(125),ggHtoZZ,GluGluHToZZTo2L2Q,/ZZTo2L2Q_13TeV_TuneCP5_amcatnloFXFX_madspin_pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21_ext1-v1/NANOAODSIM,28379098,3.22, #
#
# reference
# - https://github.com/CJLST/ZZAnalysis/blob/Run2_CutBased/AnalysisStep/test/prod/samples_2018_MC.csv
#
#ttbarZ,ttZ,ttZJets,,/ttZJets_TuneCP5_13TeV_madgraphMLM_pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21_ext1-v1/NANOAODSIM,22646257,0.259,
#ttbar,TT,TTTo2L2Nu,,/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,64310000,87.3,
#
# reference:
# - AN2019_262_v10 (gives ext1-v2)
